total_pop,know_no_ef,mother_not_ef,home_not_ef,home_other_not_ef,CT_GEO2
7607,870,4735,3440,1300,250.05
6748,375,4420,2650,1265,260.01
4147,365,2955,2100,630,260.04
4020,565,2520,1940,465,260.05
3348,150,2020,1265,595,260.06
3670,140,2110,1240,650,260.07
5501,280,2630,1580,755,261
5736,165,2285,1215,790,262.01
6273,280,3035,1765,930,262.02
3471,95,1440,775,440,263.02
4906,100,2150,1045,665,263.03
6531,150,2910,1425,985,263.04
1301,50,620,320,230,264
4756,55,1145,550,405,265
3209,85,1065,555,370,266
6368,275,3100,1740,975,267
6419,140,2460,1220,730,268
5056,200,2630,1635,685,269.01
2569,55,1025,480,360,269.02
4980,140,2055,1075,660,270.01
4264,85,1395,705,475,270.02
2429,60,875,410,330,271.01
4815,135,1900,1065,545,271.02
5987,185,3e3,1835,760,272.01
4705,145,2365,1400,630,272.02
4014,135,1855,1020,555,273.01
4160,190,2145,1340,510,273.02
4900,165,2295,1310,615,274.01
4738,170,2230,1290,575,274.02
5836,35,1220,460,405,275
6446,135,1780,750,610,276.01
6870,50,1740,685,650,276.02
4084,20,780,305,370,277
7734,155,2240,990,835,278
4028,195,2170,1130,655,279.01
6503,450,3130,1855,975,279.02
7333,370,3800,2305,1035,280
6484,430,3245,2085,925,281.01
3940,155,1530,960,480,281.02
4480,180,1960,915,725,282
5399,245,2415,1465,770,283.01
4542,275,2075,1215,650,283.02
6840,400,3840,2265,1125,284
3271,225,1730,945,540,285
4273,205,2090,1100,720,286
6732,100,2985,1585,945,287.02
3432,105,1330,765,445,287.03
4474,150,1620,825,525,287.04
9970,170,3975,1940,1350,288
4713,260,2570,1380,855,289
3620,215,1835,1220,415,290.01
1534,60,710,350,255,290.02
4947,300,2630,1560,745,291.02
2302,140,1180,665,330,291.03
1585,105,855,500,255,291.04
6721,380,3300,1990,870,292
6242,315,3075,1645,1030,293
4386,260,2235,1370,570,294.01
4504,405,2530,1620,670,294.02
5180,345,2765,1780,725,295
64,5,35,15,15,296
7313,430,4250,2485,1085,297.01
6502,235,2910,1510,890,297.02
4661,45,1405,710,495,298
6256,140,2550,1350,780,299.01
5247,185,3250,2010,840,299.02
13667,530,8470,5135,2250,300
2915,85,1315,685,415,301.01
6949,430,4695,3075,1225,301.03
5859,320,3785,2405,900,301.04
6253,370,3740,2280,995,302.01
6140,600,4140,2880,855,302.02
3425,300,2370,1690,445,302.03
5355,340,3630,2475,730,303
4541,225,2895,2005,630,304.01
4777,180,2565,1575,675,304.02
2898,120,1550,965,385,304.03
3724,185,2370,1595,495,304.04
2847,215,1855,1190,520,304.05
5807,405,3840,2640,775,304.06
4451,220,2550,1580,655,305.01
4914,190,2875,1790,675,305.03
9133,425,5945,3900,1405,305.04
4574,355,2885,1910,670,306.01
4793,360,3165,2120,835,306.02
5039,450,3880,2935,660,307.03
7035,375,4880,3180,1155,307.04
3581,285,2715,1845,600,307.05
5424,420,4260,3125,795,307.06
6321,445,4220,2910,930,307.07
4310,130,2050,1100,575,308.02
1147,35,505,285,145,308.03
11479,830,7835,5290,1705,308.04
6383,230,3965,2530,930,309
3512,90,1350,640,445,310.01
5048,185,2540,1370,740,310.02
5823,355,3060,1925,860,311.02
2651,175,1460,885,395,311.03
6552,455,3575,2260,895,311.04
6823,260,3650,2460,880,311.05
5744,155,2860,1570,875,311.06
3448,315,1695,1250,430,312.02
6420,490,3105,2065,790,312.03
5763,535,2550,1855,625,312.04
3836,200,1380,940,455,312.05
3444,375,1915,1235,605,312.06
3076,360,1835,1185,420,312.07
5554,345,2735,1695,785,313
5036,320,2640,1910,615,314.01
4955,410,2990,2055,720,314.02
3368,240,1875,1085,550,315.01
3543,295,2205,1625,470,315.02
5505,465,3095,2090,790,315.03
3910,370,2065,1415,430,316.01
5888,590,2840,2085,640,316.03
4275,285,1810,1365,435,316.04
3992,260,1585,1140,390,316.05
3672,205,1715,1235,415,316.06
7347,685,5105,3500,1110,317.02
3688,160,2305,1395,600,317.03
6627,355,4365,2935,980,317.04
2229,85,1440,885,330,317.05
8574,460,5700,3830,1255,318
